date,"Duration (minutes)"
2019-06-07,12.320725833333332
2019-06-10,12.244385
2019-06-11,12.424387499999998
2019-06-12,11.69844
2019-06-13,11.43319
2019-06-14,11.276301666666665
2019-06-17,11.219681666666665
2019-06-18,11.818833333333334
2019-06-19,11.422676666666666
2019-06-20,11.235044999999998
2019-06-21,11.210511666666667
2019-06-24,12.048203333333332
2019-06-25,11.6369
2019-06-26,11.728191666666666
2019-06-27,11.909706666666667
2019-06-28,12.028152500000001
2019-07-01,11.642741666666666
2019-07-02,11.831937499999999
2019-07-03,12.086533333333334
2019-07-04,12.914064999999999
2019-07-05,13.271216666666668
2019-07-08,12.915656666666667
2019-07-09,12.5108
2019-07-10,12.691028333333323
2019-07-11,12.256710833333333
2019-07-12,12.263001666666668
2019-07-15,12.47871
2019-07-16,12.251928333333334
2019-07-17,12.231308333333333
2019-07-18,12.225995833333332
2019-07-19,12.305141666666668
2019-07-22,12.869308333333331
2019-07-23,12.270541666666668
2019-07-24,12.179929166666668
2019-07-25,12.096156666666666
2019-07-26,18.28842333333333
2019-07-29,18.62601
2019-07-30,18.4051275
2019-07-31,19.063909999999993
2019-08-01,18.918845833333332
2019-08-02,18.860043333333333
2019-08-05,19.167979166666658
2019-08-06,19.395695833333335
2019-08-07,19.677408333333325
2019-08-08,18.106633333333335
2019-08-09,17.560824999999998
2019-08-12,18.223511666666667
2019-08-13,17.59471666666666
2019-08-14,17.910070833333332
2019-08-15,18.337368333333327
2019-08-16,18.440769999999997
2019-08-19,18.982711666666667
2019-08-20,19.107954166666666
2019-08-21,19.344721666666665
2019-08-22,22.542219999999993
2019-08-23,25.686041666666668
2019-08-26,23.68557666666666
2019-08-27,19.62568083333333
2019-08-28,19.715080833333335
2019-08-29,22.872519999999998
2019-08-30,23.28198333333333
2019-09-02,22.932196666666666
2019-09-03,22.7234025
2019-09-04,22.537509999999997
2019-09-05,21.810953333333323
2019-09-06,21.454004999999977
2019-09-09,21.9522875
2019-09-10,21.953758333333333
2019-09-11,22.173043333333332
2019-09-12,
2019-09-13,21.72443666666666
2019-09-16,23.726233333333333
2019-09-17,22.113075833333333
2019-09-18,20.032769166666668
2019-09-19,20.974106666666668
2019-09-20,
2019-09-23,22.347085833333328
2019-09-24,25.575754166666663
2019-09-25,25.587201666666665
2019-09-26,25.056900000000002
2019-09-27,25.62032666666666
